                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.0353,                 1.8173,                 2.5042,                0.68786,                    0.5,                0.63509,                0.34597,                 1.8157,                 2.1786,                 2.6551,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.9946,                 1.6337,                 2.4735,                0.67498,                0.59459,                 0.6819,                0.34138,                 1.8899,                 2.0781,                 2.7309,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.1057,                 1.6814,                 2.6109,                0.65452,                0.61448,                 0.6812,                0.32618,                 1.9116,                 2.1377,                 2.7047,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.0147,                 1.8406,                 2.5817,                 0.8734,                0.74589,                0.87529,                0.45852,                 1.6433,                  1.641,                  2.476,               0.000911,               0.000911,               0.000911
                     57,                 1.9137,                 1.6982,                 2.3804,                0.69893,                0.75294,                0.77746,                0.39486,                 1.6658,                 1.6587,                 2.4972,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7172,                  1.618,                 2.3895,                 0.6272,                0.64865,                0.65973,                0.32895,                 1.6457,                 1.7644,                 2.4152,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.8265,                 1.5336,                 2.3285,                0.64444,                0.71032,                0.71711,                0.35284,                  1.616,                 1.7547,                 2.3556,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.856,                 1.4757,                 2.3123,                0.56648,                0.77027,                0.69844,                0.33406,                 1.6315,                 1.7158,                 2.3476,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.9261,                 1.6138,                 2.3617,                0.58935,                 0.7973,                0.70703,                0.35844,                 1.5801,                 1.7662,                 2.3248,               0.000812,               0.000812,               0.000812
                     62,                 1.7761,                 1.4729,                 2.2372,                0.67529,                0.77027,                0.76421,                0.40734,                 1.6814,                 1.7122,                 2.3891,              0.0007922,              0.0007922,              0.0007922
